category,avg_price_inr
Biryani Bucket [Serves 4-6],2349.0
Family Meal Box (serves 4 To 6),1999.0
Hampers & Gift Boxes,1988.0
Monster Pizza (24 Inches),1979.0
Big Big Pizza,1919.24
Biryani Buckets (super Savers),1912.64
Family Pack Combo,1783.65
Bucket & Box Biriyani,1730.0
MAD OVER MANGOES,1700.0
Loaves,1700.0
Family & Party Special Combos,1599.0
Metal Handi - Alishaan Biryani (Serves 4-5),1599.0
Box of 12 Donuts (Buy 9 Get 3 Free),1485.72
Bucket Biryani - Family Pack,1385.0
Authentic Turkish Baklava,1350.0
2 Kg Dum Biryani,1349.0
Harley's Gourmet Celebration Cheesecakes,1316.67
House Party Special,1299.0
Alishaan Biryani (Serves 4-5),1286.0
1/2 Kg Cakes,1241.67
Barbeque in a Box (Serves 2-3),1216.86
Hampers,1200.0
Baklava & Kunafa,1200.0
Chef's Special 4in1 Pizza,1199.0
Indian Fusion Cakes,1199.0
Royal 4in1 Pizza,1153.9
Mewa Bites,1146.67
Family Pack (3200ml),1139.0
1kg Regular Cake,1134.5
Harley's Grand Celebration Medovik Cakes,1128.33
New Cake Bars,1120.0
Party Platters & Feast,1102.11
Bucket Biryani (Serves 4),1099.0
Get Together Combos,1099.0
Family Meals,1084.0
Ice Cream Cake HNH,1069.0
Cakes(Egg-Free),1063.0
Gifting Specials,1032.5
Platters,1015.67
Special Platter,1010.0
Epic Saver Bucket (save Up To 45%),1002.38
New Irresistible Cake,1000.0
Metal Handi - Nawabi Biryani (Serves 2),999.0
Cakes [1 Kg],998.0
Laddu Collection,980.0
Cake,979.28
Special Assortments,976.5
Fresh Cream Cake 1Kg,954.29
DEJA-VU SEA FOOD,953.33
ONAM SPECIAL,949.0
Gift Hampers,945.76
Mediterranean/arabic,880.57
Trout Specialities,869.0
All Time Favourite Combinations,864.0
Special Family Pack Biryanis,862.5
Premium Eggless Cake,860.17
Dry Fruits & Roasted Nuts,853.57
Harley's Sweet Home Assortments,852.0
Bento box,850.0
Confectionery Cake,840.0
Barbeque in a Box (Serves 1-2),829.0
Cake [500 Gm],821.17
Mithai Packs,811.33
Main,809.0
Everyday Biryani Combos,808.33
Upper Crust Signature Dishes,805.71
Gift Sweet Boxes,805.71
Dum Biryanis (900 grams),801.97
Uramaki Rolls(8pcs),800.0
Rebel Pizza,799.0
Special sarson ka saag desi ghee,799.0
Thin n Crispy Pizzas,794.03
Bakers Choice,786.25
Shaan Biryani (Serves-2),784.8
Food For The Soul,781.75
[750Gram] Dum Biryani,779.0
"Ovenzilla - 15"" Pizzas",779.0
Gift Sweet Box Combo,775.5
Metal Handi - Shaan Biryani (Serves 2),771.5
Party Combo,771.33
Kunafa,762.71
Cakes,761.07
Homemade Lasagna,750.0
Basque Cheesecake,750.0
"Pizza 10"" Neapolitan Style",749.07
Non-Veg Pizza,748.0
EPIC SAVINGS BUCKET FOR 3-4 (UP TO 32% OFF),745.4
Jamai Bhoj,745.0
Epic Savings Bucket for 3-4 (up to 32% off),741.03
Appetizers-mutton And Fish,738.33
Epic Savings Bucket For 3-4 (up To 32% Off),734.01
Cakes 1/2 KG,726.67
Asian Curries- Served With Japanese Rice,721.67
Cakes [Half Kg],720.8
Kebabs and Starters,720.68
Kashmiri BBQ,720.0
"Set Menu (served With Rice,miso Soup)",714.44
Shaan Biryani (serves 2),714.0
Celebration Cakes & Desserts,714.0
Celebration Cake,714.0
One Plus One Medium @649,713.78
New Launch (Stuffed Crunch Pizza),699.0
Perfect for 2 Bento Cakes,697.0
Multi Pack Combos [FREE Coke & Choco Lava worth...,689.0
Sashimi,680.0
Combo Meal,676.75
Box of 6 Donuts (Buy 5 Get 1 Free),672.53
Au Gratin Dishes,671.0
Flash Sale Deals,669.0
Diwali Speacial,665.0
New Arrivals,661.73
Mustard Classics,661.67
Mandi,659.78
Donut Boxes,655.6
Combo Deals @10% OFF,652.0
Meal Bowls,650.0
Fresh Cream Half Kg Cake,650.0
Dragon Panda Special Combos,650.0
Dry Fruit Cans,650.0
Rakhi gift hampers,650.0
From The Tandoor,649.91
Gourmet Cakes,646.91
Grilled And Fried,645.0
Basundi,645.0
Value Meals,643.86
Non-Veg 1 KG Matka Biryani + Free Dessert,636.5
Desi Ghee Sweets 1kg,635.64
Dosirak [Thali],635.0
Momos Platter,633.5
Authentic Andhra Meals,631.5
Ramzan Special ( Online),630.0
Savour The Sea,630.0
Gourmet Non-veg Pasta,629.57
Premium Exotic Cakes,629.5
Super Saver Baskets (Serves 3-5),625.86
Platter's,615.0
Gourmet Non-veg Pan Pizza,611.86
Combos Loved By Ranchi,605.67
Sizzlers,605.24
Peri Peri Chicken Strips & Leg Pc,605.01
Office Zone Cakes,604.0
Indian Curries,603.67
Friendship Day Epic Deals (upto Rs 256 off),603.27
Bestsellers,603.0
Korean Appetizers,601.0
Signature Combos,600.0
Millets Magic,599.0
Value Chicken  Bucket.,599.0
Stew,599.0
Half & Half Pizza,598.04
Chef Special,597.53
Large Plates,597.06
Seafoods,597.0
Kashmiri Speciality,595.0
Large Pizza ,594.0
Gift Boxes,593.33
Gourmet Veg Pasta,592.2
Chicken Indian Main Course,590.91
1/2kg Cakes,590.0
Risotto & Pasta,590.0
Peri Peri Chicken Strips & Leg Pc (up to 25%),589.34
Poster & Photo Cakes,589.0
Grills & Mains,588.5
Gourmet Non-Veg Pizzas (11 Inch/14Inch),587.92
Timeless Collection Desserts,587.5
Super Saver Deals,584.38
 Desi Ghee Sweets,580.87
"BIG 10"" PIZZAS | NON-VEG [SERVES 2-3]",580.82
Allday Breakfasts,580.0
THAI FOOD,579.33
Anniversary & Birthday Cakes,579.0
Lambs,579.0
Match Day Special Combos,577.5
EID special sweet box,576.2
Epic Combos [FREE Coke & Choco Lava worth Rs.120],575.67
Pastas & Risottos,575.32
Broth And Bowls,575.0
Maki Rolls(6pcs),575.0
Crackling Combos,574.5
Starters & Iranian,572.5
Sushi (Uramaki),570.0
Durga Puja Specials,570.0
Lamb,570.0
Irresistible Eclairs,567.62
Continental Favorites,564.0
Seafood,563.85
Speciality Pizzas,560.71
Wooden Plate Combo Meals,560.0
MAIN COURSE PRAWNS,559.43
Everyday Wow! Day,559.0
SWEETS,558.0
Eggs and Omelettes,557.0
Salads or Thoke,555.0
Good Flippin Deals,555.0
Premium Cakes,554.0
Tawa Kebab,553.75
Mutton And Fish Indian Main Course,552.86
Exotic,550.5
Diwali Dhamaka Offer,550.0
Mutton Mains,550.0
Signature Cakes,549.0
Flower Bouquets & Cakes Combo,549.0
9 Inch Pizza,549.0
Small Bites,549.0
Hot Pressed Sandwiches,548.33
Delhi special Makhan Kulcha Meal,547.33
Kebabs & Tikkas,546.25
Finger Food Bucket,545.0
"Non-Veg CHEESE BURST Thin Crust Pizzas [10"" Large]",540.0
Tawa Sigdi Tandoor,540.0
Indian Appetizers (fish & Prawns),539.4
Khao Suey,539.29
Pizzas & Bruschettas,539.0
Sea Food Appetizers,539.0
House Specials,538.5
Birthday Special,538.5
Grilled & Roast (BBQ),537.17
Mutton Main Course,536.97
Regional Starters (non-veg),536.43
Gourmet Veg Pan Pizza,535.62
Tteokbokki,534.0
Thali & Platters,533.57
"Buy 1 Pizza Get 2 Sides, 1 Pepsi Free",532.28
Master Chef Curated Meals (Serves 1),530.8
Tandoori Kebabs,530.67
Legendary Andhra Meals,530.0
Toasted Bagels,530.0
Chicken Chinese Main Course,530.0
PERI PERI CHICKEN STRIPS & LEG PC (UP TO 25% OFF),529.31
Gourmet Veg Pizzas (11 Inch/14Inch),529.17
Celebration Cakes,528.66
Naples Pizza,528.33
Sea Food Starter,528.0
Kaju And Premium Sweets,527.52
2X Cheese Pizza,527.24
Vegetarian Main Course Chinese,525.0
Pasta & Rissoto,524.33
IPL special Offers & Value deals,522.0
"Cheese Burst Pizzas [Big 10""]",521.5
Late Night Specials,521.0
Ghee,520.0
Non-veg Dimsum,520.0
Kaati Zone Combos,519.0
Bao & Tacos,519.0
Cakes With Flowers,519.0
Indian Flavoured Starters,518.33
Fiery Indian Fried Chicken,518.0
Pizza - 10Â Inches,517.5
Sandwich & Burgers & Rolls,516.67
Indian Appetizers (mutton),516.2
Special Assortments Combos,515.0
Chinese Starters (non-veg),515.0
Popular Flavours Cakes,512.33
Midnight Bites,511.5
Miguels Kitchen,511.25
Premium Celebration Cakes,510.0
Vegan,510.0
Garlic Fried Rice,510.0
Non-Veg Curries,509.67
Premium Thalis,505.67
Appetizers -chicken,504.44
Waffles and Pancakes,502.33
Executive Thalis,502.33
Four Pizza Combo,502.25
TO DAY SPICEAL,500.92
Platter On The Go,500.0
Middle Eastern And Persian Salads,500.0
Veg Dimsum,500.0
Specials Menu,500.0
Non-Veg Starters,500.0
Regular Cakes,499.15
Wow! Birthday(Save upto 40%),499.0
Crazy Deals,499.0
Impossible Combos [FREE items of â‚¹120],499.0
WE Combos [FREE items upto Rs.280],499.0
Late Night Non-Veg,499.0
Oriental Mains Non Veg,499.0
Biggie Combos ( Upto Flat 25% Off).,499.0
Prepare Your Own Pizza,498.75
"BIG 10"" PIZZAS | VEG [SERVES 2-3]",498.33
Pan Asian Cravings,498.18
Indian Mains,497.95
Veg Special Combos,497.0
"Burger, Sandwiches & Wraps",496.11
Combo Meal 3 Persons,495.0
BIG FAT WINGS,495.0
Tandoori Platter,495.0
MAIN COURSES,495.0
Festive Gifting Specials,495.0
Party Platter,495.0
Baklava,495.0
Hot Deals,495.0
Arabian Special,494.17
Non-veg Starters,494.0
"Rice, Pulao And Biryani",493.33
Asian,493.0
Quiches,492.5
Prawns,492.17
Land Of Thousand Spices,491.25
Wok,491.0
Roasted Dry Fruits,490.0
Classic Cakes,490.0
Fathers Day Specials,490.0
Vegetarian Main Course Paneer,490.0
Chinese Appetizers (fish & Prawns),489.13
Hand Scooped 750 ML Family Pack (Serve 6-8),489.0
Risottos,489.0
Signature Eggless Cakes,488.86
From The Clay Oven,488.33
Pot Meals,488.33
Indian Main Course (mutton),487.2
Makar Shankranti Specials,485.86
Taco Saver Combos (upto 30% Off),485.67
Dry Fruit Sweets,484.77
Dum Biryanis,484.09
Anniversary Special,484.0
Group Sharing Combos,483.42
Veggies Seafood Special,483.33
Babka Pantry,483.33
Original Non-Veg Main Course,482.14
Premium,482.0
"Veg CHEESE BURST Thin Crust Pizzas [10"" Large]",481.86
Italian,481.67
Waffle Cakes,481.67
Small Plates,481.25
Chicken Burst,481.0
"10"" LARGE PIZZAS | NON-VEG",480.43
Sundae,480.0
Appetizers-vegetarian,480.0
Kashmiri Food De Linz,479.89
Korean Fried Chicken,479.0
Barish Combo (Save upto 40%),479.0
Hyderabadi Dum Biryani (pakki Style),477.44
Buckets,476.78
JAPANESE/KOREAN,476.67
Super Heroâ€™s Of Our Menu,475.0
Indian Gravy,475.0
STARTERS,475.0
Chef Harpal Singh Specials,475.0
Green Salad,475.0
BENTO CAKE,475.0
Pasta House,475.0
Thai Cuisines,474.0
Gyoza Japanese momo 7pcs,473.33
Breakfast for Veggies,473.0
Bento Cake,473.0
Cheese Burst Pizza,472.92
Oriental,472.85
Chenna Sweets  ( Bengali Sweets ),472.14
Beginning Tasters,471.67
GRILLED  /  SMOKED,470.56
Global Mains,470.0
Soup And Starters,470.0
North Indian Thali's,470.0
"Pizzas,burger AND SANDWICH",470.0
Cake (500 Gm),470.0
Classic Pizza,468.92
Biryanis & Pulao,468.62
Indian Main Course (non-veg),468.33
Indian Paneer Curry,467.33
Kids Donuts,466.67
Rice And Biriyanis,466.4
Bao-2pc,465.0
Mutton Gravy,465.0
Freshly Squeezed Juices,465.0
Indian Rice / Breads,463.75
Antera's Fusion,463.0
Big Fat Salad,462.5
Vegetarian Main Course Indian,462.31
SPECIAL GHEWAR,460.0
Mutton deluxe thali,460.0
Special Medium Pizza,459.71
Sandwiches & Burgers,459.3
Pepperoni Pizza,459.0
Wow! Biryani,459.0
Kilo Biryani (Serves 2-3),459.0
Flash Sale Pizzas,459.0
Party Combos [FREE Thums Up & Choco Lava worth ...,459.0
Sea Food Biryani,458.0
Swiggy Flash Sale,456.67
Gifting,456.64
Ghewar special,456.0
Biryani By Chef Saransh Goila,455.67
Goila Butter Chicken X Biryani by Kilo,455.67
Sugar Free Mithai,454.92
Mughlai Main Course,454.33
Sea Food,454.29
Sea Food Main Course,454.0
Made With Kitkat,453.4
Mixed Chow,452.5
Flask,451.86
Seafood Starters,450.69
Kolkata Dum Biryani,450.47
Grilled,450.0
Taste Special Thali,450.0
Kabab & Kanti,450.0
Smoothies Bowl,450.0
Chicken Deluxe Thali,450.0
Tandoori And Fry Non Veg,450.0
Fish deluxe thali,450.0
Tandoori Non Veg,449.75
China Town,449.25
Breakfast combo for 2(Till 11:00AM),449.0
Hyderabadi Dum Biryani,449.0
Momo Saver Combos (upto 30% Off),449.0
Paneer (Indian Cheese),449.0
Katsu,449.0
Long Lost Biryanis (Limited Time Specials),449.0
Tiprasa Ni Chamung,449.0
Veg 1 KG Matka Biryani + Free Dessert,449.0
Korean Thali,449.0
Flavours Of India,448.22
Continental Special,448.18
Together Combos [FREE Coke & Choco Lava Cake wo...,447.89
Indian Items,446.43
Naga Meals,446.0
Veg Curries,445.41
Kukkad Da Chakkar {chicken Mains},445.0
IPL special Combos,445.0
Shudh Ghee Se Mutton Curries,445.0
Ridge Momos and Bao,445.0
Classic Fried Chicken,444.33
Indian Main Course (chicken),443.7
Match Day Combo,442.54
Non-veg Chinese Starters,442.5
Pork,442.22
"Chinese Noodles, Rice And Chopsuey",441.67
Dry Fruits Sweets,440.43
Thai Inspired Cuisine,440.0
Meal For 2,440.0
Light Plates & Salad,440.0
Epic Value Meals For 1-2 (up To Rs 22% Off),439.9
Dry Vegetables,439.33
Choupsuey,439.0
Mezze (appetizers),439.0
Matchdays Epic Deals (upto Rs 308 Off),438.85
Ice Cream Cakes,438.6
Super Saver Combos,438.29
Prawn,438.12
Buy 1 Get 1 @ 169 each,438.0
Family Value Combos Starting @ 299/-,438.0
1 Plus 1 @ 169 each,438.0
Continental Main Course,437.8
Special veg ka maja,437.5
BAKERY,436.25
Kebab Platter,436.0
Late Night Specials (Starting at 199),435.97
Pot Rice,435.85
Non-veg Main Course,435.24
Dumplings [6 Pcs],435.0
Beverage Combo,435.0
Family Binge Combos,434.08
Gift Box,433.47
Sandwiches (w/ In-House Focaccia Bread),433.33
Paneer Curries,431.62
Bites,430.58
Classic Biryani,430.5
Egg deluxe thali,430.0
Bao,430.0
Meal Menu,430.0
Varieties Of Fish,430.0
Tandoor & Kebabs,429.74
Koozi And Manthi,428.75
Indian Curry,428.67
Pasta N Rice,427.86
Non-Veg Main Course,427.06
Mutton Starters,427.0
Flasks,426.33
"Chinese, Thai & Orientel",426.0
Platter And Thali,425.6
Biryani combo,425.5
Munchies's special,425.0
Late Night Specials (starting At 199),424.95
Biryani & Pulao,424.37
Our Signature Dessert,424.0
Multi Roll Combos [FREE Coke & Choco Lava worth...,424.0
Combos [O],424.0
Baked hot potatoes,423.33
HOT & CRISPY CHICKEN & WINGS,422.74
Epic Value Meals for 1-2 (up to Rs 22% off),422.18
Kofta Curries,422.0
Vegetable Curries,422.0
Combo's ( Save Extra Upto 30% Off),421.75
Biryani & Kebab Thali,421.55
Mains,420.9
Meal For One,420.6
Celebration Cake Eggless,420.0
Complete thali,420.0
Wraps And Shawarmas And Rolls,420.0
Mezzeh,420.0
New Launches,419.55
Family Pack,419.5
CHINESE SNACKS (non-veg),419.0
Between The Breads,419.0
Classic Mithai Collection,418.67
Special Thalis,418.5
Indian Traditional Mutton,418.0
EPIC VALUE MEALS FOR 1-2 (UP TO 22% OFF),417.22
Sugar Free Sweets,416.4
World'S Cuisine,415.82
Pista Dry Fruit Sweets,415.0
Mutton,414.66
Toofani Biryani Combos,414.0
Top Selling Combos,414.0
APPTIZERS NON VEG,413.9
Combo Foods,413.75
